id,age,income,children,gener,region,married,car,savings_acct,current_acct,mortgage,pep,predicted,probability,distribution
ID12845,41,15064.3,0,FEMALE,SUBURBAN,NO,YES,YES,YES,NO,?,1:YES,*0.938,0.063
ID12873,43,28741.6,0,MALE,TOWN,NO,NO,NO,NO,NO,?,1:YES,*0.938,0.063
ID12766,44,31833.7,2,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,?,1:YES,*0.902,0.098
ID12790,45,38496.9,2,FEMALE,TOWN,NO,YES,NO,YES,NO,?,1:YES,*0.902,0.098
ID12791,56,50209.7,2,FEMALE,TOWN,NO,YES,YES,YES,NO,?,1:YES,*0.902,0.098
ID12802,52,33043.5,2,FEMALE,TOWN,NO,NO,NO,NO,NO,?,1:YES,*0.902,0.098
ID12814,57,37548,2,MALE,INNER_CITY,NO,NO,NO,YES,NO,?,1:YES,*0.902,0.098
ID12820,42,35712.8,2,FEMALE,TOWN,NO,NO,NO,YES,YES,?,1:YES,*0.902,0.098
ID12853,56,48758.6,2,FEMALE,SUBURBAN,NO,NO,YES,YES,NO,?,1:YES,*0.902,0.098
ID12704,50,46794.4,2,MALE,TOWN,YES,NO,YES,NO,YES,?,1:YES,*0.902,0.098
ID12729,58,41114.2,2,MALE,RURAL,YES,YES,YES,YES,YES,?,1:YES,*0.902,0.098
ID12752,61,40315.6,2,MALE,RURAL,YES,YES,YES,YES,NO,?,1:YES,*0.902,0.098
ID12776,54,48375.5,2,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,?,1:YES,*0.902,0.098
ID12812,47,35140.1,2,MALE,SUBURBAN,YES,YES,NO,NO,NO,?,1:YES,*0.902,0.098
ID12835,44,39740.5,2,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,?,1:YES,*0.902,0.098
ID12836,66,46738.7,2,FEMALE,INNER_CITY,YES,NO,YES,NO,YES,?,1:YES,*0.902,0.098
ID12863,48,38635.6,2,MALE,INNER_CITY,YES,YES,NO,YES,NO,?,1:YES,*0.902,0.098
ID12891,39,34140.8,2,MALE,INNER_CITY,YES,NO,YES,YES,NO,?,1:YES,*0.902,0.098
ID12733,18,10523.3,0,MALE,SUBURBAN,YES,NO,NO,NO,YES,?,1:YES,*0.88,0.12
ID12807,65,38858.5,0,FEMALE,TOWN,YES,NO,NO,YES,YES,?,1:YES,*0.88,0.12
ID12829,31,23025.4,0,FEMALE,INNER_CITY,YES,NO,NO,YES,YES,?,1:YES,*0.88,0.12
ID12839,19,14782.7,0,FEMALE,INNER_CITY,YES,NO,NO,YES,YES,?,1:YES,*0.88,0.12
ID12846,57,18732.8,0,MALE,INNER_CITY,YES,YES,NO,NO,YES,?,1:YES,*0.88,0.12
ID12860,31,24609.7,0,FEMALE,INNER_CITY,YES,NO,NO,YES,YES,?,1:YES,*0.88,0.12
ID12862,51,37733.3,0,FEMALE,TOWN,YES,YES,NO,NO,YES,?,1:YES,*0.88,0.12
ID12737,47,20628,0,FEMALE,TOWN,YES,YES,NO,YES,NO,?,1:YES,*0.8,0.2
ID12878,50,21496.9,0,FEMALE,RURAL,YES,YES,NO,YES,NO,?,1:YES,*0.8,0.2
ID12709,42,33584.9,3,MALE,INNER_CITY,NO,YES,YES,NO,NO,?,2:NO,0.105,*0.895
ID12757,38,30943.7,3,MALE,INNER_CITY,NO,YES,YES,YES,NO,?,2:NO,0.105,*0.895
ID12768,46,32101.4,3,MALE,TOWN,NO,NO,YES,YES,NO,?,2:NO,0.105,*0.895
ID12779,57,39576.3,3,MALE,INNER_CITY,NO,YES,YES,YES,NO,?,2:NO,0.105,*0.895
ID12783,67,35004.9,3,MALE,INNER_CITY,NO,NO,NO,YES,YES,?,2:NO,0.105,*0.895
ID12816,60,30498.4,3,FEMALE,SUBURBAN,NO,NO,YES,YES,YES,?,2:NO,0.105,*0.895
ID12889,50,31404,3,FEMALE,SUBURBAN,NO,NO,YES,YES,NO,?,2:NO,0.105,*0.895
ID12701,23,18766.9,0,MALE,INNER_CITY,YES,YES,YES,NO,YES,?,2:NO,0.101,*0.899
ID12705,41,20721.1,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12707,46,39068,0,FEMALE,RURAL,YES,YES,YES,NO,YES,?,2:NO,0.101,*0.899
ID12711,63,47630.9,0,FEMALE,INNER_CITY,YES,NO,YES,NO,YES,?,2:NO,0.101,*0.899
ID12713,62,20837.1,0,FEMALE,RURAL,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12714,26,23912.7,0,FEMALE,SUBURBAN,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12717,32,24627.6,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,?,2:NO,0.101,*0.899
ID12724,51,44199.9,0,MALE,RURAL,YES,YES,YES,YES,YES,?,2:NO,0.101,*0.899
ID12728,52,39387.7,0,FEMALE,RURAL,YES,NO,YES,YES,YES,?,2:NO,0.101,*0.899
ID12735,47,21935.7,0,FEMALE,INNER_CITY,YES,YES,YES,NO,NO,?,2:NO,0.101,*0.899
ID12736,63,54182.5,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12738,33,28589.4,0,MALE,INNER_CITY,YES,NO,YES,YES,YES,?,2:NO,0.101,*0.899
ID12749,25,21366,0,MALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12750,62,40099.6,0,MALE,SUBURBAN,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12751,28,16376.2,0,MALE,TOWN,YES,NO,YES,YES,YES,?,2:NO,0.101,*0.899
ID12754,18,5960.4,0,MALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12772,28,17737.2,0,MALE,TOWN,YES,YES,YES,NO,NO,?,2:NO,0.101,*0.899
ID12777,47,31936.6,0,FEMALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12780,48,44960,0,FEMALE,SUBURBAN,YES,NO,YES,YES,YES,?,2:NO,0.101,*0.899
ID12785,58,25383.6,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12792,26,23058.8,0,MALE,INNER_CITY,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12793,38,25194,0,MALE,INNER_CITY,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12795,34,23653.6,0,MALE,RURAL,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12799,36,31532.5,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12800,62,49016.7,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,?,2:NO,0.101,*0.899
ID12801,60,20752.5,0,MALE,INNER_CITY,YES,YES,YES,NO,NO,?,2:NO,0.101,*0.899
ID12803,66,61476.8,0,MALE,TOWN,YES,NO,YES,NO,YES,?,2:NO,0.101,*0.899
ID12822,52,41761.6,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12825,18,14550.5,0,FEMALE,SUBURBAN,YES,NO,YES,YES,YES,?,2:NO,0.101,*0.899
ID12834,57,40659.8,0,FEMALE,TOWN,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12837,54,51468.3,0,MALE,SUBURBAN,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12844,40,23988.3,0,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,?,2:NO,0.101,*0.899
ID12850,52,42415.8,0,FEMALE,INNER_CITY,YES,NO,YES,NO,NO,?,2:NO,0.101,*0.899
ID12857,43,24613.9,0,FEMALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12859,29,25178.6,0,MALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.101,*0.899
ID12861,35,23301.3,0,FEMALE,TOWN,YES,NO,YES,YES,YES,?,2:NO,0.101,*0.899
ID12864,57,49351.3,0,MALE,INNER_CITY,YES,YES,YES,YES,YES,?,2:NO,0.101,*0.899
ID12871,48,44138.8,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,?,2:NO,0.101,*0.899
ID12880,60,22221.4,0,MALE,TOWN,YES,YES,YES,YES,YES,?,2:NO,0.101,*0.899
ID12881,38,14954.5,0,FEMALE,TOWN,YES,YES,YES,YES,YES,?,2:NO,0.101,*0.899
ID12892,44,25353.3,0,FEMALE,SUBURBAN,YES,YES,YES,YES,YES,?,2:NO,0.101,*0.899
ID12893,34,18095.9,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12899,42,20552.5,0,FEMALE,TOWN,YES,YES,YES,YES,NO,?,2:NO,0.101,*0.899
ID12720,43,20528.9,3,FEMALE,TOWN,NO,YES,NO,YES,NO,?,2:NO,0.097,*0.903
ID12726,20,13013.9,2,FEMALE,SUBURBAN,NO,NO,YES,NO,YES,?,2:NO,0.097,*0.903
ID12739,28,26201.6,2,FEMALE,TOWN,NO,YES,NO,YES,NO,?,2:NO,0.097,*0.903
ID12748,21,14827.2,2,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,?,2:NO,0.097,*0.903
ID12758,32,15623.5,3,FEMALE,SUBURBAN,NO,YES,NO,YES,NO,?,2:NO,0.097,*0.903
ID12759,54,27775.7,2,FEMALE,INNER_CITY,NO,NO,NO,YES,NO,?,2:NO,0.097,*0.903
ID12769,28,9785.21,2,MALE,SUBURBAN,NO,YES,YES,YES,YES,?,2:NO,0.097,*0.903
ID12773,26,23925.6,2,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,?,2:NO,0.097,*0.903
ID12788,18,6531.43,3,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,?,2:NO,0.097,*0.903
ID12794,39,28611.6,2,FEMALE,TOWN,NO,YES,YES,NO,NO,?,2:NO,0.097,*0.903
ID12824,65,23904,3,FEMALE,TOWN,NO,YES,NO,NO,YES,?,2:NO,0.097,*0.903
ID12826,33,18213.4,3,FEMALE,TOWN,NO,YES,YES,NO,NO,?,2:NO,0.097,*0.903
ID12832,28,23505.8,3,MALE,INNER_CITY,NO,NO,NO,YES,NO,?,2:NO,0.097,*0.903
ID12843,18,12388.1,3,FEMALE,SUBURBAN,NO,YES,NO,YES,NO,?,2:NO,0.097,*0.903
ID12856,25,8507.04,2,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,?,2:NO,0.097,*0.903
ID12865,29,11343.5,2,MALE,TOWN,NO,NO,YES,NO,YES,?,2:NO,0.097,*0.903
ID12876,47,15237,2,MALE,TOWN,NO,YES,NO,NO,NO,?,2:NO,0.097,*0.903
ID12879,23,8841.67,2,FEMALE,TOWN,NO,YES,NO,YES,YES,?,2:NO,0.097,*0.903
ID12886,19,15866,3,MALE,TOWN,NO,YES,YES,YES,NO,?,2:NO,0.097,*0.903
ID12887,30,16583.8,3,FEMALE,SUBURBAN,NO,YES,YES,YES,NO,?,2:NO,0.097,*0.903
ID12897,19,17906.8,2,MALE,INNER_CITY,NO,YES,YES,NO,NO,?,2:NO,0.097,*0.903
ID12900,34,25843.1,2,MALE,INNER_CITY,NO,NO,YES,YES,NO,?,2:NO,0.097,*0.903
ID12719,26,13196.2,3,MALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.097,*0.903
ID12722,29,21022.6,2,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,?,2:NO,0.097,*0.903
ID12725,24,20050.2,3,FEMALE,INNER_CITY,YES,YES,YES,NO,NO,?,2:NO,0.097,*0.903
ID12732,31,20979.5,2,FEMALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.097,*0.903
ID12740,36,18038,3,FEMALE,TOWN,YES,NO,NO,YES,YES,?,2:NO,0.097,*0.903
ID12762,24,7782.19,2,MALE,INNER_CITY,YES,YES,YES,YES,NO,?,2:NO,0.097,*0.903
ID12765,30,20664.5,2,MALE,INNER_CITY,YES,YES,YES,YES,YES,?,2:NO,0.097,*0.903
ID12767,22,14452.2,3,FEMALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.097,*0.903
ID12787,27,11679.3,3,MALE,TOWN,YES,YES,NO,NO,NO,?,2:NO,0.097,*0.903
ID12789,60,28461.3,2,MALE,TOWN,YES,YES,YES,NO,NO,?,2:NO,0.097,*0.903
ID12796,28,22212.1,3,FEMALE,SUBURBAN,YES,NO,NO,YES,YES,?,2:NO,0.097,*0.903
ID12805,31,16678,3,FEMALE,INNER_CITY,YES,YES,NO,YES,YES,?,2:NO,0.097,*0.903
ID12809,60,24170.9,2,MALE,SUBURBAN,YES,NO,YES,YES,NO,?,2:NO,0.097,*0.903
ID12813,22,18367.2,3,FEMALE,TOWN,YES,YES,NO,YES,YES,?,2:NO,0.097,*0.903
ID12815,35,19918,2,MALE,INNER_CITY,YES,YES,NO,NO,YES,?,2:NO,0.097,*0.903
ID12819,42,17692.4,2,MALE,INNER_CITY,YES,NO,YES,YES,YES,?,2:NO,0.097,*0.903
ID12828,25,13563.9,3,FEMALE,TOWN,YES,YES,YES,YES,YES,?,2:NO,0.097,*0.903
ID12841,54,30076,3,MALE,SUBURBAN,YES,NO,YES,YES,YES,?,2:NO,0.097,*0.903
ID12847,23,21769.8,3,MALE,TOWN,YES,YES,YES,YES,NO,?,2:NO,0.097,*0.903
ID12858,67,28117.7,2,FEMALE,INNER_CITY,YES,NO,YES,NO,YES,?,2:NO,0.097,*0.903
ID12866,41,28299.5,2,FEMALE,INNER_CITY,YES,NO,YES,NO,NO,?,2:NO,0.097,*0.903
ID12870,29,16976.9,2,MALE,TOWN,YES,YES,YES,YES,YES,?,2:NO,0.097,*0.903
ID12872,60,25296.9,2,FEMALE,INNER_CITY,YES,YES,NO,NO,YES,?,2:NO,0.097,*0.903
ID12874,41,13692.8,2,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,?,2:NO,0.097,*0.903
ID12875,34,26610.1,2,MALE,INNER_CITY,YES,NO,YES,YES,NO,?,2:NO,0.097,*0.903
ID12877,32,17162.3,3,MALE,TOWN,YES,YES,NO,YES,YES,?,2:NO,0.097,*0.903
ID12888,34,18001.5,2,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,?,2:NO,0.097,*0.903
ID12890,53,29062.8,3,FEMALE,TOWN,YES,YES,YES,YES,NO,?,2:NO,0.097,*0.903
ID12895,29,18054.5,2,MALE,TOWN,YES,NO,YES,NO,NO,?,2:NO,0.097,*0.903
ID12702,30,9915.67,1,MALE,RURAL,NO,NO,YES,NO,YES,?,2:NO,0.091,*0.909
ID12852,39,14413.9,1,FEMALE,INNER_CITY,NO,NO,NO,YES,NO,?,2:NO,0.091,*0.909
ID12715,19,8005.13,1,MALE,RURAL,YES,NO,YES,YES,NO,?,2:NO,0.091,*0.909
ID12734,35,12403,1,MALE,SUBURBAN,YES,NO,YES,YES,NO,?,2:NO,0.091,*0.909
ID12806,19,7624.11,1,MALE,INNER_CITY,YES,YES,NO,NO,NO,?,2:NO,0.091,*0.909
ID12827,27,10294,0,MALE,INNER_CITY,YES,NO,NO,YES,NO,?,2:NO,0.091,*0.909
ID12833,18,13376.6,0,MALE,INNER_CITY,YES,YES,NO,YES,NO,?,2:NO,0.091,*0.909
ID12883,33,15228.7,1,MALE,TOWN,YES,NO,YES,YES,NO,?,2:NO,0.091,*0.909
ID12885,20,12662.1,0,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,?,2:NO,0.091,*0.909
ID12894,34,13699,1,MALE,RURAL,YES,YES,YES,YES,NO,?,2:NO,0.091,*0.909
ID12742,45,26956,0,FEMALE,INNER_CITY,NO,NO,YES,NO,YES,?,2:NO,0,*1
ID12755,34,17221.3,0,MALE,SUBURBAN,NO,NO,YES,YES,YES,?,2:NO,0,*1
ID12842,66,21489.5,0,MALE,SUBURBAN,NO,NO,YES,YES,YES,?,2:NO,0,*1
ID12867,40,15233.1,0,FEMALE,RURAL,NO,YES,YES,YES,YES,?,2:NO,0,*1
ID12869,41,21122.6,0,MALE,TOWN,NO,YES,YES,YES,YES,?,2:NO,0,*1
ID12727,48,39465.8,0,FEMALE,TOWN,YES,YES,NO,NO,NO,?,2:NO,0,*1
ID12775,32,25623.2,0,FEMALE,RURAL,YES,YES,NO,NO,NO,?,2:NO,0,*1
